ID,Purpose,Purpose Code,Amount,Frequency
187,C,3,23733,12.99
188,B,2,1215,4.88
189,B,2,2562,3.24
190,C,3,11305,10.73
191,D,4,481,12.09
192,D,4,1080,8.82
193,D,4,820,7.93
194,A,1,49239,5.71
195,B,2,2702,3.69
196,D,4,1697,9.36
197,D,4,1276,11.38
198,C,3,18884,11.73
199,D,4,845,11.95
200,A,1,46834,8.37
201,C,3,14666,14.25
202,A,1,45291,7.92
203,A,1,50928,7.4
204,B,2,5588,1.75
205,D,4,586,13.81
206,D,4,459,7.58
207,C,3,14769,13.41
208,A,1,50486,6.48
209,A,1,46820,6.95
210,B,2,3670,3.15
211,C,3,13331,19.63
212,A,1,50193,6.69
213,B,2,1761,2.62
214,B,2,280,2.89
215,D,4,572,13.78
216,C,3,9706,15.65
217,B,2,1118,3.1
218,B,2,2635,3.8
219,A,1,49100,8.92
220,D,4,48,11.39
221,D,4,19,10.75
222,D,4,672,6.76
223,B,2,2409,2.5
224,D,4,871,9.01
225,C,3,18364,21.69
226,C,3,22197,14.95
227,A,1,54276,7.11
228,D,4,17,12.47
229,D,4,468,8.53
230,A,1,55398,10.04
231,B,2,47,3.35
232,D,4,933,8.69
233,A,1,46008,4.52
234,D,4,47,6.55
235,A,1,50538,4.98
236,A,1,52657,5.43
237,D,4,146,10.36
238,D,4,1255,7.81
239,D,4,1194,6.04
240,D,4,725,11.84
241,A,1,50553,8.53
242,B,2,2069,3.21
243,C,3,12925,21.44
244,B,2,2868,4.51
245,A,1,45687,4.99
246,D,4,46,11.83
247,A,1,53942,4.31
248,B,2,2187,3.09
249,A,1,51275,8.84
250,A,1,54868,9.41
251,D,4,550,11.71
252,A,1,44575,7.22
253,A,1,53588,6.42
254,C,3,15861,18.22
255,A,1,50337,5.83
256,A,1,47278,7.02
257,D,4,372,10.4
258,D,4,855,12.32
259,D,4,1374,6.32
260,A,1,50146,4.21
261,C,3,17150,12.17
262,A,1,54995,5.74
263,A,1,45644,6.14
264,B,2,4001,2.94
265,B,2,819,2.39
266,A,1,52491,5.43
267,A,1,51897,7.78
268,C,3,13414,14.16
269,A,1,44434,6.17
270,A,1,50680,5.89
271,C,3,11751,10.71
272,B,2,3574,1.24
273,D,4,681,10.32
274,C,3,11535,14.61
275,B,2,118,1.91
276,A,1,48584,9.09
277,A,1,46670,4.36
278,B,2,2818,3.17
279,C,3,19377,14.18
280,C,3,17191,16.96
281,C,3,16522,18.21
282,B,2,3696,2.28
283,C,3,15230,15.92
284,B,2,2985,2.27
285,D,4,1224,10.71
286,D,4,445,8.71
287,D,4,1092,8.26
288,C,3,15294,14.54
289,B,2,3176,3.98
290,D,4,146,5.14
291,C,3,10682,16.71
292,B,2,2728,2.94
293,D,4,448,7.84
294,B,2,1737,3.71
295,C,3,11783,20.08
296,B,2,3980,4.77
297,B,2,2067,2.61
298,B,2,139,4.15
299,A,1,54728,6.74
300,A,1,50933,9.35
301,A,1,50892,4.04
302,C,3,15821,21.12
303,D,4,1330,10.09
304,A,1,48790,6.76
305,C,3,18677,14.03
306,D,4,162,9.29
307,A,1,42632,8.59
308,D,4,400,8.96
309,C,3,15127,15.13
310,D,4,624,11.07
311,A,1,51916,6.67
312,C,3,21205,14.06
313,A,1,47580,5.39
314,A,1,49566,4.49
315,A,1,49437,5.4
316,D,4,1335,10.02
317,B,2,367,2.96
318,A,1,48416,6.14
319,A,1,51047,5.06
320,B,2,3858,2.72
321,B,2,5071,2.98
322,A,1,44340,6.12
323,C,3,4808,19.29
324,B,2,3085,2.5
325,C,3,9080,10.38
326,B,2,65,2.76
327,A,1,57303,3.68
328,D,4,316,9.85
329,A,1,46491,5.73
330,A,1,49541,8.29
331,C,3,19261,16.64
332,D,4,412,8.1
333,B,2,2483,3.19
334,C,3,10819,12.38
335,C,3,17062,19.77
336,C,3,13526,20.91
337,B,2,484,2.36
338,C,3,17926,14.23
339,A,1,54470,4.06
340,C,3,14497,14.2
341,B,2,248,5.13
342,D,4,151,11.22
343,C,3,11835,12.43
344,D,4,1365,10.16
345,B,2,6517,3.45
346,D,4,656,9.89
347,C,3,12143,15.05
348,D,4,447,11.19
349,C,3,12957,15.24
350,B,2,1304,2.33
351,C,3,14486,16.34
352,C,3,22739,19.37
353,A,1,48860,5.89
354,A,1,44827,8.56
355,A,1,48519,8.27
356,B,2,4498,3.39
357,D,4,1423,10.77
358,C,3,15646,13.52
359,C,3,11834,9.85
360,A,1,47322,6.79
361,C,3,17647,11.03
362,D,4,446,7.22
363,D,4,750,9.41
364,B,2,972,2.55
365,A,1,58526,9.51
366,C,3,11827,16.8
367,D,4,615,12.06
368,D,4,956,9.7
369,B,2,816,5.27
370,C,3,11462,13.21
371,D,4,907,7.1
372,D,4,1222,10.41
373,C,3,18368,17.9
374,C,3,6244,18.3
375,C,3,11172,15.56
376,C,3,14830,15.87
377,C,3,13308,12.48
378,D,4,166,8.35
379,D,4,1038,9.76
380,C,3,12081,16.33
381,C,3,17558,18.74
382,C,3,19318,15.31
383,B,2,3429,3.51
384,B,2,2618,2.89
385,C,3,9741,19.39
386,C,3,19444,16.98
387,D,4,850,9
388,C,3,15131,17.13
389,B,2,4083,4.08
390,B,2,5347,4.18
391,A,1,53615,5.68
392,D,4,166,10
393,C,3,14224,19.23
394,D,4,1020,8.57
395,D,4,123,10.54
396,A,1,58252,7.41
397,D,4,1099,11.65
398,C,3,14314,16.29
399,C,3,24494,17.49
400,D,4,218,8.96
401,D,4,655,9.92
402,B,2,4049,5.72
403,A,1,49924,8.65
404,C,3,8885,15.42
405,B,2,2207,2.55
406,A,1,51647,8.5
407,C,3,12624,12.94
408,A,1,49688,6.47
409,A,1,48261,8.23
410,B,2,1031,1.39
411,B,2,2805,3.03
412,C,3,18932,17.44
413,D,4,1631,10.89
414,A,1,47879,5.92
415,A,1,48104,6.54
416,B,2,1431,1.97
417,B,2,2178,3.05
418,D,4,1306,10.73
419,D,4,343,8.84
420,B,2,4675,3.14
421,C,3,9557,16.23
422,B,2,3338,5.2
423,B,2,3378,4.5
424,A,1,50295,4.39
425,C,3,8202,11.85
426,D,4,1046,8.24
427,A,1,51213,5.57
428,A,1,42505,8.19
429,D,4,1461,9.4
430,A,1,51606,8.55
431,A,1,43519,4.54
432,A,1,56707,3.97
433,D,4,1544,12.59
434,B,2,1359,3.17
435,D,4,167,11.61
436,D,4,69,12.89
437,B,2,3625,3.1
438,B,2,5924,5.23
439,B,2,1747,3.39
440,B,2,1441,3.35
441,D,4,921,12.3
442,A,1,53475,5.3
443,A,1,48362,2.96
444,A,1,53572,10.94
445,A,1,46267,7.3
446,B,2,3444,3.83
447,D,4,1720,11.85
448,D,4,333,9.09
449,C,3,12078,12.06
450,B,2,2242,3.44
451,C,3,15715,17.9
452,B,2,2124,3.09
453,C,3,14366,18.94
454,B,2,6387,3.89
455,A,1,52600,8.32
456,D,4,1034,9.83
457,D,4,104,10.21
458,B,2,2561,3.02
459,C,3,13829,20.46
460,D,4,1510,10.31
461,A,1,49132,6.5
462,B,2,441,4.03
463,A,1,45635,6.58
464,C,3,23032,17.97
465,C,3,10774,19.04
466,C,3,6929,14.73
467,B,2,1778,3.16
468,C,3,12165,16.42
469,D,4,461,9.49
470,C,3,21260,16.45
471,B,2,2362,3.5
472,B,2,3721,3.96
473,A,1,47175,10.36
474,A,1,47624,2.77
475,C,3,23215,17.95
476,D,4,1202,14.85
477,B,2,2176,3.3
478,C,3,12919,16.31
479,D,4,738,10.45
480,B,2,2628,2.95
481,D,4,329,9.59
482,C,3,7347,17.39
483,C,3,15954,10.38
484,C,3,15723,18.84
485,A,1,52105,8.59
486,B,2,1777,3.26
487,C,3,12265,11.89
488,D,4,559,9.6
489,A,1,49451,5.41
490,B,2,2578,2.73
491,C,3,6911,20.09
492,C,3,13534,13.09
493,D,4,421,12.23
494,C,3,17783,12.82
495,C,3,15591,20.68
496,B,2,488,2.95
497,C,3,21218,15.21
498,D,4,1607,9.62
499,B,2,2542,1.42
500,D,4,44,8.5
501,B,2,5547,3.32
502,C,3,10179,10.75
503,B,2,2627,3.31
504,C,3,9201,14.47
505,B,2,1319,2.09
506,C,3,18736,17.78
507,C,3,18686,18.96
508,D,4,1222,10.8
509,A,1,49708,5.02
510,B,2,1069,4.7
511,A,1,53391,6.19
512,D,4,954,15.83
513,A,1,52378,7.35
514,A,1,56184,2.97
515,D,4,920,12.35
516,B,2,1123,2.55
517,A,1,54671,9
518,A,1,48082,4.85
519,B,2,1577,4.03
520,C,3,24866,16.32
521,D,4,180,11.82
522,A,1,46331,8
523,C,3,14490,14.59
524,D,4,118,7.69
525,B,2,213,4.95
526,D,4,378,10.38
527,A,1,48689,5.96
528,A,1,52777,6.1
529,A,1,53489,4.14
530,C,3,11915,16.54
531,A,1,49817,9.39
532,B,2,863,3.76
533,D,4,1027,8.8
534,B,2,842,2.53
535,A,1,44820,3.24
536,C,3,13300,16.9
537,C,3,14510,15
538,D,4,1148,10.22
539,A,1,52320,10.07
540,C,3,21448,20.74
541,A,1,50060,4.32
542,A,1,49035,8.94
543,A,1,51958,5.04
544,C,3,15741,15.28
545,A,1,48634,9.47
546,D,4,1020,10.36
547,A,1,49719,8.61
548,C,3,10133,12.03
549,C,3,21535,13.69
550,D,4,100,6.92
551,C,3,22595,11.82
552,D,4,698,12.42
553,C,3,4847,15.33
554,A,1,51041,4.47
555,A,1,50476,6.27
556,C,3,17891,12.71
557,A,1,49348,8.53
558,C,3,26385,12.35
559,C,3,22874,15.44
560,D,4,141,7.94
561,B,2,2563,3.06
562,C,3,20251,18.56
563,C,3,18846,14.49
564,D,4,1313,9.32
565,B,2,129,3.37
566,C,3,17927,17.49
567,B,2,2229,1.91
568,A,1,49250,5.61
569,C,3,14203,18.6
570,B,2,1622,1.23
571,D,4,1388,8.24
572,D,4,614,8.7
573,D,4,1330,5.8
574,B,2,343,2.55
575,D,4,1396,11.04
576,C,3,22071,17.15
577,D,4,662,10.59
578,C,3,8482,15.09
579,B,2,1249,2.49
580,C,3,16263,12.63
581,B,2,2265,3.49
582,B,2,4784,4.64
583,D,4,1019,11.89
584,B,2,2945,1.91
585,D,4,284,10.16
586,A,1,48677,6.09
587,D,4,266,5.21
588,D,4,602,9.32
589,D,4,1096,7.71
590,B,2,3258,2.6
591,A,1,46857,3.35
592,B,2,1951,2.36
593,A,1,54190,4.12
594,A,1,50980,5.63
595,A,1,53321,7.08
596,D,4,758,10.34
597,C,3,18281,11.74
598,C,3,12197,18.59
599,C,3,12467,17.64
600,B,2,1327,2.12
601,C,3,9257,19.49
602,B,2,627,2.21
603,C,3,8002,13.99
604,B,2,5633,2.99
605,D,4,799,9.76
606,D,4,286,9.94
607,A,1,49731,7.13
608,A,1,43663,2.57
609,A,1,53454,10.99
610,B,2,5775,2.25
611,C,3,13924,15.02
612,D,4,1005,9.85
613,A,1,55044,4.87
614,C,3,16570,12.06
615,C,3,11017,19.41
616,A,1,52354,8.51
617,D,4,150,10.1
618,D,4,1013,12.2
619,A,1,50296,4.81
620,D,4,603,10.05
621,C,3,9893,16.96
622,B,2,2378,2.7
623,D,4,110,12.25
624,B,2,1160,1.54
625,D,4,49,7.85
626,A,1,41877,6.86
627,A,1,51247,6.18
628,B,2,5430,2.09
629,B,2,2043,3.43
630,C,3,16380,14.52
631,B,2,86,4.44
632,C,3,12269,14.75
633,D,4,269,8.89
634,D,4,582,10.09
635,B,2,4194,4.44
636,D,4,320,9.23
637,D,4,1437,9.67
638,B,2,667,3.62
639,A,1,49553,9
640,C,3,17068,16.01
641,C,3,15979,19.29
642,D,4,405,8.89
643,A,1,51358,9.43
644,A,1,50221,5.65
645,B,2,4508,3.51
646,D,4,792,11.67
647,A,1,53525,7.49
648,B,2,3693,2.54
649,D,4,1558,11.15
650,B,2,505,3.55
651,D,4,797,9.03
652,C,3,14321,13.61
653,A,1,56733,6.01
654,C,3,12870,16.18
655,A,1,52921,4.2
656,C,3,17356,16.07
657,D,4,91,6.92
658,C,3,19467,8.01
659,C,3,11726,14.18
660,A,1,51974,6.45
661,C,3,15513,10.04
662,C,3,7904,15.95
663,B,2,838,2.96
664,D,4,886,6.99
665,D,4,445,7.06
666,A,1,54527,8.1
667,D,4,608,11.84
668,C,3,14124,15.12
669,A,1,44429,7.05
670,C,3,17821,14.06
671,C,3,10348,14.83
672,A,1,49985,6.97
673,C,3,15830,14.89
674,C,3,10939,21.69
675,C,3,8688,15.56
676,B,2,6220,3.81
677,A,1,45335,5.72
678,B,2,1469,2.02
679,C,3,23900,12.86
680,C,3,8869,16.81
681,C,3,12324,15.57
682,C,3,15405,16.25
683,D,4,1600,9.24
684,D,4,401,13.19
685,D,4,1023,10.25
686,C,3,10721,16.85
687,A,1,48361,7.22
688,B,2,2078,0.29
689,B,2,1065,3.53
690,B,2,3729,3.96
691,D,4,680,10.66
692,D,4,1575,8.55
693,B,2,1356,4.58
694,A,1,51511,6.04
695,C,3,12319,15.37
696,B,2,1758,3.1
697,B,2,1168,3.39
698,A,1,47067,10.01
699,C,3,13656,12.55
700,C,3,16506,16.17
701,D,4,1107,12.56
702,A,1,49763,4.05
703,B,2,4744,4.62
704,D,4,980,10.1
705,C,3,18275,11.68
706,C,3,15755,14.95
707,A,1,43059,3.19
708,A,1,48050,6.33
709,B,2,785,2.13
710,C,3,15503,19.05
711,C,3,17280,16.51
712,A,1,49662,1.52
713,C,3,16193,18.89
714,B,2,5444,0.55
715,A,1,48128,4.7
716,D,4,568,8.89
717,B,2,2316,3.45
718,C,3,17928,18.7
719,D,4,875,8.59
720,C,3,10483,16.86
721,C,3,15115,19.18
722,C,3,16970,20.21
723,A,1,46748,4.53
724,C,3,18166,14.97
725,B,2,4827,2.34
726,A,1,48860,8.52
727,B,2,724,2.81
728,D,4,625,9.2
729,D,4,434,7.12
730,A,1,55264,7.06
731,A,1,50298,7.96
732,B,2,1152,4
733,B,2,472,1.67
734,B,2,2066,4.14
735,A,1,53960,6.99
736,A,1,47207,2.52
737,B,2,2596,1.77
738,D,4,506,9.88
739,B,2,4279,4.92
740,B,2,3691,3.66
741,A,1,57453,5.44
742,D,4,1013,13.11
743,B,2,6330,2.98
744,D,4,571,12.68
745,D,4,554,8.12
746,C,3,17690,13.39
747,A,1,44630,5.38
748,A,1,48723,7.11
749,D,4,928,6.86
750,A,1,53644,4.5
751,D,4,447,10.34
752,B,2,5219,1.88
753,B,2,853,2.76
754,B,2,6140,2.99
755,A,1,51966,6.48
756,D,4,1363,8.39
757,B,2,1894,2.08
758,C,3,21022,16.07
759,C,3,8928,15.34
760,B,2,769,3.2
761,D,4,1487,8.45
762,C,3,13688,14.75
763,A,1,49853,6.97
764,D,4,45,7.44
765,C,3,13889,14.38
766,C,3,7180,26.33
767,A,1,49730,7.67
768,C,3,11824,17.01
769,A,1,52113,6.45
770,C,3,17661,17.13
771,B,2,2778,1.46
772,A,1,50823,6.29
773,D,4,848,14.35
774,C,3,25303,20.02
775,A,1,54108,6.6
776,C,3,8962,17.56
777,B,2,254,2.56
778,D,4,122,11.19
779,A,1,44531,3.7
780,B,2,1221,2.71
781,A,1,45152,10.71
782,B,2,3699,3.91
783,A,1,49558,5.73
784,A,1,45508,5.24
785,A,1,46400,7.65
786,D,4,1206,6.92
787,A,1,52721,8.43
788,A,1,51437,8.23
789,A,1,47477,3.19
790,C,3,9130,22.56
791,B,2,678,2.77
792,A,1,45993,3.39
793,C,3,14142,11.28
794,A,1,52899,7.11
795,B,2,1196,3.62
796,A,1,49170,7.45
797,D,4,1366,8.59
798,B,2,1129,3.31
799,B,2,1464,3.83
800,D,4,1114,6.92
801,C,3,17199,13.94
802,C,3,1429,16.7
803,C,3,22781,9.19
804,D,4,1575,8.31
805,A,1,50579,6.99
806,B,2,3291,1.93
807,A,1,46154,6.56
808,A,1,55474,7.8
809,A,1,49796,5.43
810,C,3,12976,15.96
811,C,3,16141,19.69
812,B,2,1878,3.67
813,A,1,56113,10.17
814,C,3,12142,14.7
815,A,1,47043,5.89
816,B,2,2726,3.31
817,A,1,49366,4.05
818,A,1,51678,5.86
819,C,3,13706,20.79
820,A,1,53189,4.33
821,C,3,17274,12.14
822,C,3,14104,9.89
823,B,2,4044,3.68
824,C,3,6740,14.72
825,C,3,14199,19.56
826,A,1,51578,4.96
827,B,2,1533,3.77
828,B,2,4222,1.15
829,D,4,1559,9.29
830,D,4,1285,8.98
831,A,1,49182,7.3
832,C,3,15666,13.31
833,A,1,55613,1.97
834,B,2,3443,3.96
835,C,3,16528,17.81
836,A,1,53238,6.39
837,C,3,16732,15.78
838,B,2,202,3.36
839,D,4,609,7.72
840,D,4,718,10.18
841,D,4,1816,10.07
842,A,1,56878,10
843,A,1,47149,5.02
844,A,1,55077,7.42
845,D,4,923,10.58
846,D,4,443,6.9
847,D,4,1143,7.97
848,A,1,53431,4.69
849,C,3,24528,15.53
850,D,4,488,8.44
851,A,1,49580,5.23
852,C,3,11952,12.95
853,D,4,1347,5.21
854,C,3,13192,15.3
855,D,4,1315,7.42
856,B,2,886,4.68
857,B,2,3606,3.78
858,C,3,10197,14.99
859,D,4,1623,12.53
860,C,3,15964,19.5
861,C,3,10091,18.43
862,B,2,3060,3.81
863,C,3,8016,12.92
864,D,4,997,10.24
865,D,4,1495,4.79
866,D,4,168,10.29
867,B,2,827,2.8
868,D,4,698,13.29
869,D,4,83,10.29
870,B,2,7361,3.24
871,A,1,54593,6.69
872,A,1,50876,7.17
873,D,4,893,8.24
874,B,2,3743,4.22
875,B,2,856,4.06
876,D,4,636,7.44
877,C,3,11416,14.46
878,C,3,27549,13.63
879,C,3,19377,13.37
880,D,4,281,13.18
881,C,3,15257,14.59
882,B,2,5758,2.49
883,D,4,594,11.23
884,A,1,50166,8.96
885,D,4,1692,8.19
886,B,2,995,2.33
887,C,3,12975,17.43
888,A,1,51815,7.42
889,D,4,923,9.96
890,C,3,12788,16.43
891,B,2,1334,2.67
892,D,4,1564,11.3
893,D,4,963,8.09
894,A,1,54682,5.54
895,C,3,11305,11.88
896,D,4,69,9.28
897,C,3,14265,21.58
898,A,1,51775,10.03
899,A,1,49464,5.06
900,D,4,43,9.35
901,D,4,450,11.07
902,B,2,5072,3.39
903,C,3,16929,11.42
904,D,4,1228,7.96
905,B,2,872,3.4
906,D,4,861,10.72
907,D,4,1591,7.98
908,C,3,25550,18.6
909,B,2,304,3.25
910,C,3,18040,15.4
911,B,2,700,2.81
912,A,1,46735,7.38
913,D,4,1187,10.4
914,A,1,47454,1.73
915,A,1,41027,6.49
916,A,1,45840,6.75
917,A,1,45813,4.07
918,D,4,1006,10.55
919,A,1,51480,4.99
920,A,1,49358,9.86
921,C,3,12842,23.27
922,D,4,668,10.25
923,D,4,98,9.19
924,A,1,54365,6.65
925,A,1,46770,4.08
926,D,4,436,8.51
927,D,4,785,7.88
928,C,3,21676,16.19
929,B,2,1483,2.47
930,B,2,4121,1.75
931,B,2,4006,3.51
932,B,2,1654,5.45
933,B,2,1202,3.89
934,B,2,276,1.63
935,C,3,16688,13.8
936,C,3,7260,17.93
937,C,3,13319,19.95
938,D,4,301,11.78
939,C,3,14019,16.53
940,C,3,9650,14.77
941,D,4,576,12.19
942,C,3,10528,13.41
943,B,2,1408,3.74
944,A,1,52847,8.85
945,A,1,57754,4.63
946,C,3,10028,18.44
947,A,1,49347,9.33
948,B,2,2651,2.67
949,D,4,1175,11.81
950,A,1,48600,6.3
951,B,2,2584,4.78
952,B,2,2161,3.46
953,A,1,48748,10.89
954,B,2,1221,4.4
955,B,2,1545,3.31
956,D,4,138,11.17
957,A,1,54873,4.65
958,A,1,47405,6.47
959,B,2,3360,3.36
960,A,1,47394,5.08
961,D,4,1236,8.31
962,A,1,50473,7.66
963,D,4,204,9.43
964,D,4,117,8.72
965,C,3,12437,13.76
966,A,1,55821,6.32
967,D,4,721,11.24
968,A,1,52900,7.26
969,B,2,3201,3.95
970,A,1,50131,5.78
971,D,4,645,8.73
972,D,4,933,10.76
973,A,1,52980,4.66
974,A,1,53669,6.39
975,D,4,61,9.31
976,D,4,686,8.74
977,D,4,1033,12.15
978,A,1,50075,7.68
979,D,4,383,10.3
980,B,2,1863,3.38
981,B,2,1522,3.13
982,C,3,10194,14.81
983,C,3,17898,17.29
984,C,3,13324,16.05
985,B,2,2970,4.19
986,A,1,48778,3.23
987,D,4,93,8.64
988,B,2,248,2.84
989,A,1,52937,5.99
990,B,2,2408,3
991,C,3,11683,20.13
992,A,1,51124,1.97
993,B,2,1827,3.93
994,C,3,16954,15.8
995,A,1,51041,7.17
996,A,1,47545,7.19
997,A,1,50240,5.21
998,C,3,11691,18.1
999,B,2,2756,3.46
1000,C,3,12414,12.07
1001,B,2,1083,2.56
1002,A,1,47940,7.53
1003,C,3,3806,16.91
1004,C,3,11818,13.18
1005,B,2,1871,3.86
1006,A,1,46827,5.96
1007,C,3,15321,10.95
1008,D,4,674,10.42
1009,C,3,31023,17.63
1010,B,2,1689,2.83
1011,A,1,49248,7.17
1012,C,3,19616,9.23
1013,C,3,21752,16.47
1014,A,1,59091,8.55
1015,D,4,399,9.41
1016,A,1,50451,6.99
1017,B,2,4941,4.08
1018,A,1,49317,2.47
1019,C,3,14762,11.12
1020,B,2,4207,1.94
1021,B,2,132,1.91
1022,B,2,3347,2.7
1023,B,2,1492,2.75
1024,A,1,41997,4.04
1025,A,1,48787,7.26
1026,B,2,2584,2.15
1027,D,4,1358,9.22
1028,C,3,19285,11.71
1029,D,4,812,9.47
1030,C,3,16770,21.66
1031,C,3,16492,13.46
1032,C,3,18664,10.91
1033,A,1,53255,10.14
1034,C,3,14254,16.87
1035,A,1,51197,6.9
1036,C,3,20168,24.41
1037,B,2,1550,2.39
1038,B,2,2380,3.76
1039,D,4,1582,10.11
1040,D,4,1340,10.17
1041,D,4,492,12.3
1042,C,3,15840,15.11
1043,C,3,17906,15.3
1044,D,4,1055,11.23
1045,C,3,14597,17.75
1046,B,2,2193,3.15
1047,A,1,52634,5.64
1048,C,3,10642,18.77
1049,D,4,1261,14.55
1050,B,2,3608,2.21
1051,D,4,318,13.59
1052,B,2,3419,0.97
1053,A,1,51302,7.8
1054,C,3,16385,10.22
1055,D,4,252,8.75
1056,B,2,1232,4
1057,A,1,46857,6.1
1058,B,2,1856,4.14
1059,D,4,1430,11.93
1060,B,2,4243,4.42
1061,C,3,15373,19.87
1062,B,2,5941,4.99
1063,A,1,53410,7.94
1064,B,2,745,4.48
1065,A,1,47977,4.52
1066,B,2,3381,2.69
1067,D,4,1016,9.6
1068,D,4,117,12.51
1069,D,4,1297,9.92
1070,C,3,16910,14.63
1071,A,1,45338,5.67
1072,C,3,15116,16.93
1073,A,1,47014,7.04
1074,A,1,45985,3.95
1075,A,1,48564,3.45
1076,D,4,1160,10.79
1077,D,4,1496,11.05
1078,D,4,581,6.96
1079,C,3,9948,16.46
1080,D,4,1463,9.67
1081,B,2,1946,3.27
1082,C,3,12749,11.85
1083,B,2,1816,3.44
1084,B,2,1863,4.65
1085,B,2,976,3.08
